Tagalog,English
paa,foot
tuhod,knee
balikat,shoulder
ulo,head
hita,leg
labi,lip
pisgni,cheek
dibdib,chest
ilong,nose
ngipin,teeth
tenga,ears
tainga,ear
buhok,hair
chin,baba
kamay,hand
braso,arm
siko,elbow
kilikili,armpit
leeg,neck
tiyan,stomach
tinggil,clitoris
puki,vagina
maiinit,hot
malamig,cold
dito,here
dyan,there
salamat,thank you
magandang gabi,goodnight
magandang umaga,good morning
pinto,door
bintana,window
ulan,rain
umulan,raining
araw,sun
napaka,very
ikaw/mo,you
ako,i
ilaw,light
madilim,dark
puso,heart
bato,rock
mahal,love
ibigin,loved
lamesa/mesa,table
upuan,chair
damit,clothes
kiliti,tickle
baboy,pig
aso,dog
pusa,cat
kinikilig,weird tingly romantic feeling!
makaTI,itchy
tagpuan,meeting place
biro,joke
kanta,song
pag-aaral,study
mabaho,smelly
ngiti,smile
tawa,laugh
iyak,cry
galIt,angry
tampO,displeasure
masayA,happy
malungkot,sad
inip,bored
lumakad,walk
palakad,to walk
gumagapang,crawling
gumapa,crawl
ligaw,court
liligawan,to court
nililigawan,courting
liligawan kita,i'm gunna court you
tingin,look
tumitingi,looking
tumingin,looked
kitang,i referring to you
panaginip,dream
panaginipin,dreaming
napanaginipan,dreamed
oo naman,of course
tiis,suffer
lunes,monday
martes,tuesday
miyerkules,wednesday
huwebes,thursday
biernes,friday
sabado,saturday
lingo,sunday
